lon,lat,Number,Name,Issued,Expiration,Capacity,Company,Waterway,State
-121.2544677,39.5375537,2088,SOUTH FEATHER POWER,7/21/1952,3/31/2009,104100,SOUTH FEATHER WATER AND POWER AGENC,SOUTH FORK FEATHER RIVER CA,CA
-120.0209571,38.1776027,2086,VERMILION VALLEY,9/29/1953,8/31/2003,0,SOUTHERN CALIFORNIA EDISON CO (CA),MONO CREEK CA,CA
-121.2861759,40.3134036,2107,POE,10/26/1953,9/30/2003,142830,PACIFIC GAS AND ELECTRIC CO (C,NORTH FORK FEATHER RIVER CA,CA
-121.987805,42.1504704,2082,KLAMATH,1/28/1954,2/28/2006,161338,PACIFICORP (OR),KLAMATH RIVER OR,OR
-72.6660216,44.48249,2090,WATERBURY,7/20/1954,8/31/2001,5520,GREEN MOUNTAIN POWER CORP (VT),LITTLE RIVER VT,VT
-121.2861759,40.3134036,2105,UPPER NORTH FORK FEATHER RIVER,1/24/1955,10/31/2004,342628,PACIFIC GAS AND ELECTRIC CO (C,NORTH FORK FEATHER RIVER CA,CA
-122.0295928,40.4547815,2174,PORTAL,4/19/1955,3/31/2005,10800,SOUTHERN CALIFORNIA EDISON CO (CA),RANCHERIA CREEK CA,CA
-119.0287237,46.2072147,1971,HELLS CANYON,8/4/1955,7/31/2005,1166900,IDAHO POWER CO (ID),SNAKE RIVER OR,OR
-121.5975287,39.1271769,2100,FEATHER RIVER (PS&CON),2/11/1957,1/31/2007,762850,CALIFORNIA DEPT-WTR RESOURCES (CA),FEATHER RIVER CA,CA
-120.5101643,37.4383158,2085,MAMMOTH POOL,12/30/1957,11/30/2007,150938,SOUTHERN CALIFORNIA EDISON CO (CA),SAN JOAQUIN RIVER CA,CA
-80.0751442,35.3952176,2197,YADKIN,5/1/1958,4/30/2008,221440,ALCOA POWER GENERATING INC.,YADKIN RIVER NC,NC
-80.0605459,35.2979182,2206,YADKIN-PEE DEE,5/19/1958,4/30/2008,108600,"DUKE ENERGY CAROLINAS, LLC.",PEE DEE RIVER NC,NC
-80.6491112,34.0414028,2232,CATAWBA-WATEREE,9/17/1958,8/31/2008,739182,"DUKE ENERGY CAROLINAS, LLC.",WATEREE RIVER SC,SC
-117.0654529,48.9243191,2225,SULLIVAN LAKE (STORAGE),11/25/1958,9/30/2008,0,PUD NO 1 OF PEND OREILLE CNTY (WA),SULLIVAN CREEK WA,WA
-122.5729002,44.1625446,2242,CARMEN-SMITH,1/8/1959,11/30/2008,91995,CITY OF EUGENE,MCKENZIE RIVER OR,OR
-120.5101643,37.4383158,2175,BIG CREEK NO.1 & NO.2,3/27/1959,2/28/2009,150150,SOUTHERN CALIFORNIA EDISON CO (CA),SAN JOAQUIN RIVER CA,CA
-122.0411042,48.3353743,2244,PACKWOOD LAKE,7/7/1960,2/28/2010,26125,ENERGY NORTHWEST,LAKE CREEK WA,WA
-122.3705647,40.7562607,2106,MCCLOUD-PIT,8/18/1961,7/31/2011,340500,PACIFIC GAS AND ELECTRIC CO (C,PIT RIVER CA,CA
-121.1869606,38.6907996,2079,MIDDLE FORK AMERICAN RIVER,3/1/1963,2/28/2013,223753,PLACER COUNTY WATER AGENCY (CA),MIDDLE FORK AMERICAN R CA,CA
-121.026179,39.4472352,2246,YUBA RIVER,5/16/1963,3/31/2016,361900,YUBA COUNTY WATER AGENCY (CA),OREGON CREEK CA,CA
-121.1049574,39.3073537,2266,YUBA-BEAR,6/24/1963,4/30/2013,79920,NEVADA IRRIGATION DISTRICT (CA),SOUTH YUBA RIVER CA,CA
-121.1049574,39.3073537,2310,DRUM-SPAULDING,6/24/1963,4/30/2013,181205,PACIFIC GAS AND ELECTRIC CO (C,SOUTH YUBA RIVER CA,CA
-68.8178022,44.4455184,2312,GREAT WORKS,12/9/1963,3/31/2002,7655,PENOBSCOT RIVER RESTORATION TRUST,PENOBSCOT RIVER ME,ME
-120.2906676,37.9631203,2299,NEW DON PEDRO,3/10/1964,4/30/2016,168015,TURLOCK IRRIGATION DISTRICT (CA),TUOLUMNE R CA,CA
-120.4403501,37.3246538,2179,MERCED RIVER,4/18/1964,2/28/2014,89100,MERCED IRRIGATION DISTRICT (CA),MERCED RIVER CA,CA
-77.1945247,41.2033216,2355,MUDDY RUN PUMPED STORAGE,9/21/1964,8/31/2014,880000,EXELON GENERATING COMPANY L..L.C.,ZAVESKY PA,PA
-88.70444,44.825,2464,WEED DAM,7/13/1965,6/30/2015,620,GRESHAM VILLAGE OF (WI),RED RIVER WI,WI
-87.8312723,32.7737783,2203,HOLT LOCK AND DAM,10/7/1965,8/31/2015,46944,ALABAMA POWER CO (AL),BLACK WARRIOR RIVER AL,AL
