Company,Revenue,Bill,Year
Alpine Transportation Company ,22745383,24566,2007
Alpine Transportation Company ,32344141,41768,2008
Alpine Transportation Company ,19683467,21308,2009
Alpine Transportation Company ,17501653,15657,2010
Alpine Transportation Company ,15642047,17025,2011
Alpine Transportation Company ,16424394,16041,2012
Alpine Transportation Company ,15539287,10121,2013
Alpine Transportation Company ,15030764,10208,2014
Amoco Capline Pipeline Company ,19575765,22203,2007
Amoco Capline Pipeline Company ,9393326,12802,2008
Amoco Capline Pipeline Company ,10259432,11809,2009
Amoco Capline Pipeline Company ,9527544,8573,2010
Amoco Capline Pipeline Company ,2636420,3508,2011
"Arrowhead Louisiana Gathering, LLC ",3773110,4669,2009
"Arrowhead Louisiana Gathering, LLC ",5943778,5634,2010
"Arrowhead Louisiana Gathering, LLC ",6003708,6461,2011
"Arrowhead Louisiana Gathering, LLC ",5869307,5744,2012
"Arrowhead Louisiana Gathering, LLC ",8174984,5301,2013
"Arrowhead Louisiana Gathering, LLC ",10276173,6940,2014
"Baton Rouge Pipeline, LLC ",1687099,1095,2013
"Baton Rouge Pipeline, LLC ",2056746,1390,2014
"Baton Rouge Pipeline, LLC ",1834298,1917,2007
"Baton Rouge Pipeline, LLC ",1718474,2250,2008
"Baton Rouge Pipeline, LLC ",1423638,1600,2009
"Baton Rouge Pipeline, LLC ",1950058,1830,2010
"Baton Rouge Pipeline, LLC ",1907062,2059,2011
"Baton Rouge Pipeline, LLC ",1424294,1407,2012
Belle Fourche Pipeline Company ,8016778,8334,2007
Belle Fourche Pipeline Company ,11011594,14235,2008
Belle Fourche Pipeline Company ,13520820,15692,2009
Belle Fourche Pipeline Company ,14463937,13238,2010
Belle Fourche Pipeline Company ,16567993,17638,2011
Belle Fourche Pipeline Company ,18039041,17600,2012
Belle Fourche Pipeline Company ,34889109,22566,2013
Belle Fourche Pipeline Company ,42138822,28478,2014
"Belle Rose NGL Pipeline, LLC ",143141,106,2013
"Belle Rose NGL Pipeline, LLC ",24995,18,2014
"Belle Rose NGL Pipeline, LLC ",919898,932,2007
"Belle Rose NGL Pipeline, LLC ",468588,637,2008
"Belle Rose NGL Pipeline, LLC ",1097275,1314,2009
"Belle Rose NGL Pipeline, LLC ",895395,791,2010
"Belle Rose NGL Pipeline, LLC ",1233068,1295,2011
"Belle Rose NGL Pipeline, LLC ",1626629,1578,2012
Bengal Pipeline Company ,38139285,47860,2008
Bengal Pipeline Company ,37370291,42647,2009
Bengal Pipeline Company ,38532337,35121,2010
Bengal Pipeline Company ,45025492,47858,2011
Bengal Pipeline Company ,52768556,51382,2012
Bengal Pipeline Company ,56079783,36473,2013
Bengal Pipeline Company ,59678702,40439,2014
Black Lake Pipeline Company ,3386730,3499,2007
Black Lake Pipeline Company ,4596875,5944,2008
Black Lake Pipeline Company ,4745965,5439,2009
Black Lake Pipeline Company ,4939830,4507,2010
Black Lake Pipeline Company ,5247434,5622,2011
Black Lake Pipeline Company ,5305141,5187,2012
Black Lake Pipeline Company ,5652361,3676,2013
Black Lake Pipeline Company ,6604114,4466,2014
