Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter,Compression
Supply Header Project,Dominion Transmission,Expansion,,Pre-filed,WV,Northeast,FERC,PF15-5,12/4/2014,,na,500,34,1500,"30,36",
Windsor Project,Self-Gen,Expansion,Intrastate,Announced,ME,Northeast,State,na,2/17/2011,,na,,,,,
Cameron Access Project,Columbia Gulf Transmission,Expansion,,Announced,LA,Central,FERC,na,8/4/2014,,na,300,26,,,
Virginia Power Power Link,Columbia Gas Transmission,Lateral,Interstate,Applied,VA,Northeast,FERC,CP11-490,4/2/2012,,na,34,2,224,24,
Sawgrass Storage Mainline,Sawgrass Storage LLC,Lateral,Interstate,Approved,LA,Southwest,FERC,CP11-523,6/2/2013,,na,,14,300,"30,24",
Canadian Blackwell Expansion Project,Southern Star Central Gas Pipeline,Expansion,Interstate,Announced,TX,Southwest,FERC,na,4/6/2012,,na,,,,,
ANR East Pipeline Project,ANR Pipeline,New Pipeline,,Announced,"OH,IN","Northeast,Midwest",FERC,na,9/8/2014,,na,,320,2000,,
The Alaska Pipeline,TransCanada Pipeline LTD and ExxonMobil,New Pipeline,Interstate,Announced,"AK,YK","Alaska,British Columbia",FERC,PF09-11,2/11/2011,,na,41000,750,4500,48,
North Slope to Central Alaska,Enstar/ANGDA,New Pipeline,Intrastate,Announced,AK,Alaska,State,na,6/26/2009,,na,3800,700,460,"24,20",
LaSalle Residue Line,DCP Midstream,Lateral,Interstate,Approved,CO,Central,FERC,CP11-549,6/29/2011,,na,12,11,230,,
North Elko Pipeline Project,Prospector Pipeline,Lateral,Intrastate,Announced,NV,Western,State,na,6/14/2012,,na,,24,,10,
UGI Lycoming to Snyder,UGI Energy Services,Expansion,,Announced,PA,Northeast,FERC,na,12/20/2014,,na,150,35,200,,
Ryckman Storage Lateral,,Lateral,Interstate,Applied,WY,Central,FERC,PF10-18,7/30/2010,,na,,4,,"16,20",
Hillabee Expansion phase 3,Transcontinental Gas Pipeline,Expansion,,Filed,AL,Southeast,FERC,CP15-16,12/4/2014,,01/01/2021,,13,106,42,
MPEH Pipeline Project,McMoran Exploration Inc,New Pipeline,Interstate,Approved,"GM,AL","Gulf of Mexico,Southeast",Coast Guard,USCG-2004-17696,1/25/2011,,01/01/2020,120,97,1600,36,
Hillabee Expansion phase 2,Transcontinental Gas Pipeline,Expansion,,Filed,AL,Southeast,FERC,CP15-16,12/4/2014,,01/01/2020,,11,206,42,
Diamond East Project,Transcontinental Interstate Pipeline,Expansion,,Announced,"PA,NY",Northeast,FERC,na,9/14/2014,,01/01/2018,800,50,1000,,
Atlantic Coast Pipeline,Atlantic Coast Pipeline,New Pipeline,,Pre-filed,"WV,VA,NC","Northeast,Southeast",FERC,PF15-6,9/2/2014,,01/01/2020,5000,550,1500,"42,36,20",
Northeast Energy Direct,Tennessee Gas Pipeline,New Pipeline,,Pre-file,"PA,NY,MA",Northeast,FERC,PF14-22,6/21/2014,,01/01/2020,,346,2200,,
Access Northeast,Algonquin Gas Transmission,Expansion,,Announced,"NY,CT,MA",Northeast,FERC,na,9/16/2014,,01/01/2020,3000,,1000,,
Washington Expansion Project,Northwest Pipeline,Expansion,Interstate,Pre-filed,"WA,OR",Northwest,FERC,PF12-20,7/11/2012,,01/01/2020,,136,750,36,
Mountain Valley Pipeline,Mountain Valley Pipeline,New Pipeline,,Announced,"WV,VA,NC","Northeast,Southeast",FERC,na,6/20/2014,,01/01/2020,,330,2000,,
Oregon Pipeline,"Oregon Pipeline Company, LLC",New Pipeline,Interstate,Announced,OR,Western,FERC,CP09-7/CP09-6,9/6/2013,,01/01/2020,0,87,1250,36,
Port Dolphin LNG Pipeline,Port Dolphin Pipeline LP,New Pipeline,Interstate,Approved,FL,Southeast,FERC/Coast Guard,CP07-191,12/19/2014,,01/01/2020,50,4,1200,36,0
Coastal Bend Header,Gulf South Pipeline Co,Lateral,,Announced,TX,Southwest,FERC,na,9/10/2014,,01/01/2020,720,65,1400,"36,42",
WB Xpress,Columbia Pipeline,New Pipeline,,Announced,"OH,MD",Northeast,FERC,na,9/3/2014,,01/01/2020,870,,1300,,
Appalachia to Market Project,Texas Eastern Transmission co,Expansion,,Announced,"OH,WV,PA,NJ",Northeast,FERC,na,8/4/2014,,01/01/2020,,,1000,,
Western Marcellus Pipeline Project/Appalachian Connector,Transcontinental Interstate Pipeline,Expansion,,Announced,"OH,WV,VA","Northeast,Norhteast",FERC,na,9/14/2014,,01/01/2020,,,2000,,
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,,Pre-filed,"PA,VA,NC,SC,GA,AL","Northeast,Central",FERC,PF14-8,6/20/2014,,01/01/2017,,180,1700,,
Pacific Connector Gas Pipeline,Northwest/PG&E/Chicago Prtnrs,Lateral,Interstate,Filed,OR,Western,FERC,CP13-492,6/11/2013,,01/01/2017,1700,230,1000,36,41000
Dalton Expansion Project,Transcontinental Gas Pipeline,Expansion,Interstate,Announced,"AL,GA",Southeast,FERC,na,3/31/2014,,01/01/2017,270,106,448,"16,30",
Lebanon lateral project phase 3,ANR Pipeline,reversal,,Announced,OH,Northeast,FERC,na,3/2/2014,,01/01/2017,,,,,
Dakota Pipeline,"WBI Energy, In",New Pipeline,,Announced,"ND,MN",Midwest,FERC,,2/20/2014,,01/01/2017,650,24,400,,
Alaska Pipeline Project Option 2,TransCanada and ExxonMobil Corp,New Pipeline,Intrastate,Announced,AK,Alaska,State,na,2/11/2011,,01/01/2017,,805,3500,48,
