Type,Year,Cost,Miles,Capacity
Conversion,1/1/97,159,850,255
Conversion,1/1/98,21,200,28
Conversion,1/1/02,317,1499,337
Conversion,1/1/03,0,34,14
Conversion,1/1/04,30,177,170
Conversion,1/1/05,118,348,652
Conversion,1/1/14,,-500,-255
Expansion,1/1/96,204,758,826
Expansion,1/1/97,517,881,2161
Expansion,1/1/98,1627,1111,4789
Expansion,1/1/99,443,706,1965
Expansion,1/1/00,327,304,5611
Expansion,1/1/01,1161,1654,3453
Expansion,1/1/02,1365,551,3872
Expansion,1/1/03,2885,1392,5154
Expansion,1/1/04,1068,560,2822
Expansion,1/1/05,662,428,4404
Expansion,1/1/06,1223,599,4208
Expansion,1/1/07,2416,792,8536
Expansion,1/1/08,5544,1199,24695
Expansion,1/1/09,2596,635,4327
Expansion,1/1/10,3877,423,6855
Expansion,1/1/11,4383,998,6139
Expansion,1/1/12,852,211,3199
Expansion,1/1/13,2554,259,3108
Expansion,1/1/14,1472,245,2118
Expansion,1/1/15,2105,182,4978
Expansion,1/1/16,887,318,5086
Expansion,1/1/17,730,142,5766
Expansion,1/1/18,800,50,1000
Expansion,1/1/20,3000,147,4956
Expansion,1/1/21,,13,106
Lateral,1/1/96,21,26,232
Lateral,1/1/97,75,503,581
Lateral,1/1/98,73,565,842
Lateral,1/1/99,67,415,1051
Lateral,1/1/00,58,77,973
Lateral,1/1/01,235,323,3706
Lateral,1/1/02,700,421,4198
Lateral,1/1/03,233,126,3045
Lateral,1/1/04,564,248,2219
Lateral,1/1/05,289,154,1499
Lateral,1/1/06,215,162,2983
Lateral,1/1/07,520,300,2368
Lateral,1/1/08,853,364,8645
Lateral,1/1/09,256,152,2587
Lateral,1/1/10,178,91,4039
Lateral,1/1/11,273,119,4040
Lateral,1/1/12,129,82,1240
Lateral,1/1/13,190,124,1206
Lateral,1/1/14,561,150,1106
Lateral,1/1/15,682,190,3482
Lateral,1/1/16,346,217,1442
Lateral,1/1/17,1730,337,4095
Lateral,1/1/20,720,65,1400
New Pipeline,1/1/96,167,208,1524
New Pipeline,1/1/97,439,571,2543
New Pipeline,1/1/98,419,331,1045
New Pipeline,1/1/99,1188,789,1483
New Pipeline,1/1/00,1797,1319,2345
New Pipeline,1/1/01,256,256,1502
New Pipeline,1/1/02,1738,883,2832
New Pipeline,1/1/03,199,402,820
New Pipeline,1/1/04,68,150,570
New Pipeline,1/1/05,235,194,1510
New Pipeline,1/1/06,610,569,2555
New Pipeline,1/1/07,1183,603,4232
New Pipeline,1/1/08,5350,2095,11233
New Pipeline,1/1/09,10528,2702,15432
New Pipeline,1/1/10,2756,788,6099
New Pipeline,1/1/11,5127,1405,6376
New Pipeline,1/1/12,1004,253,1498
New Pipeline,1/1/13,,0,366
New Pipeline,1/1/14,12,132,2330
New Pipeline,1/1/15,1450,234,1702
New Pipeline,1/1/16,1056,1035,3762
New Pipeline,1/1/17,10900,2625,12750
New Pipeline,1/1/20,6040,1414,11050
Reveral,1/1/13,,,540
Reveral,1/1/14,81,,794
Reveral,1/1/15,745,76,2617
Reveral,1/1/16,52,0,3550
Reveral,1/1/17,,180,4170
