Year,State,Projects,Cost,Miles,Capacity
2011,AK,1,,7,49
2017,AK,1,,805,3500
2006,AL,1,8,4,250
2007,AL,1,10,10,
2008,AL,6,1371,258,2700
2009,AL,2,378,107,394
2010,AL,1,37,,254
2011,AL,6,1364,264,1647
2012,AL,2,64,12,66
2013,AL,1,127,23,130
2014,AL,1,144,35,256
2015,AL,2,74,,248
2016,AL,2,,116,1333
2017,AL,5,1595,258,1712
2020,AL,2,60,60,1006
2021,AL,1,,13,106
2006,AR,1,6,,70
2008,AR,4,268,91,1267
2009,AR,3,372,91,800
2010,AR,2,667,93,1333
2011,AR,1,19,4,56
2015,AR,1,17,,167
2016,AR,1,,,250
2007,AZ,1,1,1,205
2008,AZ,1,24,,30
2009,AZ,1,957,284,500
2010,AZ,1,8,2,41
2013,AZ,1,12,0,93
2014,AZ,1,100,31,101
2006,CA,1,11,6,50
2007,CA,2,31,7,305
2008,CA,1,9,0,20
2010,CA,1,45,27,200
2012,CA,1,16,9,24
2015,CA,1,629,90,
2016,CA,1,173,63,125
2015,CN,1,14,2,79
2016,CN,3,0,83,883
2017,CN,1,860,160,650
2006,CO,4,195,164,898
2007,CO,5,373,140,1340
2008,CO,8,865,391,4212
2009,CO,4,113,73,851
2010,CO,3,191,123,280
2012,CO,1,,4,500
2014,CO,4,147,175,708
2015,CO,1,21,16,90
2008,CT,3,146,4,260
2009,CT,2,50,1,211
2010,CT,1,45,3,282
2016,CT,1,0,0,68
2017,CT,1,0,0,120
2020,CT,1,1000,,333
2006,DE,1,6,12,9
2007,DE,1,3,4,3
2008,DE,1,4,3,4
2012,DE,2,10,14,5
2013,DE,1,16,11,15
2014,DE,1,11,6,55
2006,FL,1,20,0,100
2007,FL,2,184,101,263
2008,FL,5,346,112,633
2010,FL,1,75,50,100
2011,FL,2,1279,242,445
2017,FL,2,1550,281,933
2020,FL,1,50,4,1200
2007,GA,1,120,84,168
2008,GA,1,21,,100
2009,GA,1,6,13,14
2010,GA,3,346,231,2245
2011,GA,1,37,6,55
2012,GA,2,64,12,66
2016,GA,1,,97,333
2017,GA,3,1135,238,841
2007,GM,2,62,7,1200
2015,GM,1,126,20,405
2020,GM,1,60,49,800
2006,IA,1,7,,43
2007,IA,2,67,41,198
2008,IA,1,7,8,13
2009,IA,3,900,178,833
2006,IL,1,7,,43
2007,IL,2,31,3,421
2009,IL,3,618,120,526
2010,IL,1,2,,75
2011,IL,1,18,9,120
2016,IL,2,100,,700
2017,IL,1,,140,1500
2006,IN,2,24,25,123
2007,IN,1,18,,61
2008,IN,1,28,16,250
2009,IN,2,726,148,560
2010,IN,1,2,,75
2015,IN,3,35,,453
2016,IN,1,9,,
2006,KS,1,1,1,8
2007,KS,3,13,7,186
2008,KS,2,493,180,420
2009,KS,1,292,58,333
2014,KS,1,,125,64
2006,KY,1,14,28,80
2008,KY,2,80,68,130
2009,KY,1,6,11,92
2013,KY,1,,,135
2014,KY,1,27,,148
2015,KY,3,57,34,293
2016,KY,2,9,,
2017,KY,4,,,433
2006,LA,3,79,50,1161
2007,LA,8,515,244,2196
2008,LA,11,1709,390,8930
2009,LA,6,1473,424,3740
2010,LA,7,2259,239,3222
2011,LA,4,1515,310,4055
2013,LA,2,,10,555
2015,LA,4,287,52,1064
2016,LA,3,113,0,1530
2017,LA,3,30,29,3000
2007,MA,3,251,20,906
2008,MA,2,184,14,960
2009,MA,2,58,7,152
2015,MA,1,,1,115
2016,MA,2,81,13,140
2017,MA,1,0,0,120
2020,MA,2,1000,115,1067
2006,MD,1,6,12,9
2007,MD,3,68,30,173
2008,MD,4,142,65,637
2012,MD,2,10,14,5
2014,MD,1,132,21,
2020,MD,1,435,,650
2016,ME,1,0,0,66
2006,MI,1,24,4,84
2007,MI,2,23,5,161
2008,MI,1,80,16,120
2009,MI,2,70,15,240
2012,MI,1,,0,300
2016,MI,1,0,83,667
2017,MI,2,860,160,1950
2007,MN,1,65,40,187
2008,MN,1,7,13,91
2009,MN,1,8,5,19
2010,MN,1,43,10,135
2016,MN,1,350,200,200
2017,MN,1,325,12,200
2006,MO,1,1,1,8
2008,MO,1,483,180,375
2009,MO,2,733,148,533
2008,MS,8,1422,290,6318
2009,MS,5,1128,309,2111
2010,MS,3,721,93,1417
2011,MS,4,217,33,2390
2012,MS,2,116,43,242
2013,MS,1,,,135
2014,MS,1,144,35,256
2015,MS,1,17,,167
2016,MS,2,9,,
2017,MS,1,,,53
2007,MT,1,3,,21
2009,MT,1,14,,38
2011,MT,1,203,101,159
2007,MX,1,1,1,205
2010,MX,1,8,2,41
2012,MX,1,,,119
2013,MX,2,12,0,276
2014,MX,2,100,93,1151
