Company,Revenue,Bill,Year
AEP Texas North Company,1025802,46974,2007
AEP Texas North Company,304,15,2008
AEP Texas North Company,0,0,2009
Alabama Power Company,30124612,1379477,2007
Alabama Power Company,28721945,1404710,2008
Alabama Power Company,29953339,1633368,2009
Alabama Power Company,29819490,1833453,2010
Alabama Power Company,25591555,1629587,2011
Alabama Power Company,24824922,1588202,2012
Alabama Power Company,21338291,1392414,2013
Alabama Power Company,24469300,1628305,2014
Alcoa Generating Division,466049,21341,2007
Alcoa Generating Division,81883,4005,2008
Alcoa Generating Division,11277,615,2009
Alcoa Generating Division,929947,57178,2010
Alcoa Generating Division,1176043,74887,2011
Alcoa Generating Division,1213757,77651,2012
Alcoa Generating Division,1017298,66383,2013
Alcoa Generating Division,1052055,70009,2014
Aquila Inc.,2992558,137036,2007
Aquila Inc.,1988600,97257,2008
Aquila Inc.,0,0,2009
Arizona Public Service Company,43549637,1994241,2007
Arizona Public Service Company,46498819,2274128,2008
Arizona Public Service Company,40902324,2230420,2009
Arizona Public Service Company,38627864,2375036,2010
Arizona Public Service Company,38372953,2443464,2011
Arizona Public Service Company,37490023,2398466,2012
Arizona Public Service Company,38093961,2485792,2013
Arizona Public Service Company,36946845,2458621,2014
Attala Transmission LLC,2529889,123730,2008
Attala Transmission LLC,2239855,122140,2009
Attala Transmission LLC,1629456,100187,2010
Attala Transmission LLC,1876189,119470,2011
Attala Transmission LLC,1983642,126906,2012
Attala Transmission LLC,1937906,126457,2013
Attala Transmission LLC,2199341,146355,2014
Avista Corporation,4900745,224417,2007
Avista Corporation,4977412,243431,2008
Avista Corporation,4763801,259772,2009
Avista Corporation,4832271,297112,2010
Avista Corporation,4897121,311833,2011
Avista Corporation,4975830,318334,2012
Avista Corporation,5348674,349024,2013
Avista Corporation,5569842,370644,2014
Black Hills Energy,668265,41088,2010
Black Hills Energy,630058,40120,2011
Black Hills Energy,458802,29352,2012
Black Hills Energy,251131,16387,2013
Black Hills Energy,278371,18524,2014
"Black Hills Power, Inc.",4406087,201765,2007
"Black Hills Power, Inc.",4301329,210366,2008
"Black Hills Power, Inc.",5059223,275881,2009
"Black Hills Power, Inc.",7049503,433439,2010
"Black Hills Power, Inc.",7210123,459117,2011
"Black Hills Power, Inc.",7078663,452865,2012
"Black Hills Power, Inc.",7386412,481995,2013
"Black Hills Power, Inc.",6891579,458599,2014
"Calif. Independent Sys. Operator, Corp",246823798,11302644,2007
"Calif. Independent Sys. Operator, Corp",249445593,12199688,2008
"Calif. Independent Sys. Operator, Corp",249205406,13589270,2009
"Calif. Independent Sys. Operator, Corp",229431860,14106627,2010
"Calif. Independent Sys. Operator, Corp",221697053,14116944,2011
"Calif. Independent Sys. Operator, Corp",222868057,14258234,2012
"Calif. Independent Sys. Operator, Corp",229983085,15007367,2013
"Calif. Independent Sys. Operator, Corp",229200695,15252119,2014
"Centerpoint Energy Houston Electric, LLC",385363,17647,2007
"Centerpoint Energy Houston Electric, LLC",1189116,58156,2008
"Centerpoint Energy Houston Electric, LLC",1602177,87367,2009
"Centerpoint Energy Houston Electric, LLC",951828,58523,2010
"Centerpoint Energy Houston Electric, LLC",962630,61297,2011
"Centerpoint Energy Houston Electric, LLC",863939,55271,2012
"Centerpoint Energy Houston Electric, LLC",524842,34248,2013
"Centerpoint Energy Houston Electric, LLC",379314,25241,2014
Cleco Power LLC ,4916293,225129,2007
Cleco Power LLC ,5111321,249980,2008
Cleco Power LLC ,5224052,284870,2009
Cleco Power LLC ,5262033,323536,2010
Cleco Power LLC ,5333182,339600,2011
Cleco Power LLC ,7470797,477953,2012
Cleco Power LLC ,8130728,530564,2013
Cleco Power LLC ,8325288,554005,2014
Commonwealth Edison Company ,335822,15378,2007
Commonwealth Edison Company ,306600,14995,2008
Commonwealth Edison Company ,0,0,2009
Consolidated Water Power Co ,51655,2365,2007
Consolidated Water Power Co ,92999,4548,2008
Consolidated Water Power Co ,43862,2392,2009
Consolidated Water Power Co ,17802,1095,2010
Consolidated Water Power Co ,22551,1436,2011
Consolidated Water Power Co ,20310,1299,2012
Consolidated Water Power Co ,0,0,2013
Deseret Generation & Transmission ,4409791,201935,2007
Deseret Generation & Transmission ,3761044,183942,2008
Deseret Generation & Transmission ,4211338,229646,2009
Deseret Generation & Transmission ,3937689,242109,2010
Deseret Generation & Transmission ,4040082,257259,2011
Deseret Generation & Transmission ,3892035,248997,2012
Deseret Generation & Transmission ,4060158,264942,2013
