Number,Name,Status,Capacity,Company,Waterway,lon,lat,Issued,Expiration
2088,SOUTH FEATHER POWER,Expired,104100,SOUTH FEATHER WATER AND POWER AGENC,SOUTH FORK FEATHER RIVER CA,-121.2544677,39.5375537,7/21/1952,3/31/2009
2086,VERMILION VALLEY,Expired,0,SOUTHERN CALIFORNIA EDISON CO (CA),MONO CREEK CA,-120.0209571,38.1776027,9/29/1953,8/31/2003
2107,POE,Expired,142830,PACIFIC GAS AND ELECTRIC CO (C,NORTH FORK FEATHER RIVER CA,-121.2861759,40.3134036,10/26/1953,9/30/2003
2082,KLAMATH,Expired,161338,PACIFICORP (OR),KLAMATH RIVER OR,-121.987805,42.1504704,1/28/1954,2/28/2006
2090,WATERBURY,Expired,5520,GREEN MOUNTAIN POWER CORP (VT),LITTLE RIVER VT,-72.6660216,44.48249,7/20/1954,8/31/2001
2105,UPPER NORTH FORK FEATHER RIVER,Expired,342628,PACIFIC GAS AND ELECTRIC CO (C,NORTH FORK FEATHER RIVER CA,-121.2861759,40.3134036,1/24/1955,10/31/2004
2174,PORTAL,Expired,10800,SOUTHERN CALIFORNIA EDISON CO (CA),RANCHERIA CREEK CA,-122.0295928,40.4547815,4/19/1955,3/31/2005
1971,HELLS CANYON,Expired,1166900,IDAHO POWER CO (ID),SNAKE RIVER OR,-119.0287237,46.2072147,8/4/1955,7/31/2005
2100,FEATHER RIVER (PS&CON),Expired,762850,CALIFORNIA DEPT-WTR RESOURCES (CA),FEATHER RIVER CA,-121.5975287,39.1271769,2/11/1957,1/31/2007
2085,MAMMOTH POOL,Expired,150938,SOUTHERN CALIFORNIA EDISON CO (CA),SAN JOAQUIN RIVER CA,-120.5101643,37.4383158,12/30/1957,11/30/2007
2197,YADKIN,Expired,221440,ALCOA POWER GENERATING INC.,YADKIN RIVER NC,-80.0751442,35.3952176,5/1/1958,4/30/2008
2206,YADKIN-PEE DEE,Expired,108600,"DUKE ENERGY CAROLINAS, LLC.",PEE DEE RIVER NC,-80.0605459,35.2979182,5/19/1958,4/30/2008
2232,CATAWBA-WATEREE,Expired,739182,"DUKE ENERGY CAROLINAS, LLC.",WATEREE RIVER SC,-80.6491112,34.0414028,9/17/1958,8/31/2008
2225,SULLIVAN LAKE (STORAGE),Expired,0,PUD NO 1 OF PEND OREILLE CNTY (WA),SULLIVAN CREEK WA,-117.0654529,48.9243191,11/25/1958,9/30/2008
2242,CARMEN-SMITH,Expired,91995,CITY OF EUGENE,MCKENZIE RIVER OR,-122.5729002,44.1625446,1/8/1959,11/30/2008
2175,BIG CREEK NO.1 & NO.2,Expired,150150,SOUTHERN CALIFORNIA EDISON CO (CA),SAN JOAQUIN RIVER CA,-120.5101643,37.4383158,3/27/1959,2/28/2009
2244,PACKWOOD LAKE,Expired,26125,ENERGY NORTHWEST,LAKE CREEK WA,-122.0411042,48.3353743,7/7/1960,2/28/2010
2106,MCCLOUD-PIT,Expired,340500,PACIFIC GAS AND ELECTRIC CO (C,PIT RIVER CA,-122.3705647,40.7562607,8/18/1961,7/31/2011
2079,MIDDLE FORK AMERICAN RIVER,Expired,223753,PLACER COUNTY WATER AGENCY (CA),MIDDLE FORK AMERICAN R CA,-121.1869606,38.6907996,3/1/1963,2/28/2013
2246,YUBA RIVER,Active,361900,YUBA COUNTY WATER AGENCY (CA),OREGON CREEK CA,-121.026179,39.4472352,5/16/1963,3/31/2016
2266,YUBA-BEAR,Expired,79920,NEVADA IRRIGATION DISTRICT (CA),SOUTH YUBA RIVER CA,-121.1049574,39.3073537,6/24/1963,4/30/2013
2310,DRUM-SPAULDING,Expired,181205,PACIFIC GAS AND ELECTRIC CO (C,SOUTH YUBA RIVER CA,-121.1049574,39.3073537,6/24/1963,4/30/2013
2312,GREAT WORKS,Expired,7655,PENOBSCOT RIVER RESTORATION TRUST,PENOBSCOT RIVER ME,-68.8178022,44.4455184,12/9/1963,3/31/2002
2299,NEW DON PEDRO,Active,168015,TURLOCK IRRIGATION DISTRICT (CA),TUOLUMNE R CA,-120.2906676,37.9631203,3/10/1964,4/30/2016
2179,MERCED RIVER,Expired,89100,MERCED IRRIGATION DISTRICT (CA),MERCED RIVER CA,-120.4403501,37.3246538,4/18/1964,2/28/2014
2355,MUDDY RUN PUMPED STORAGE,Expired,880000,EXELON GENERATING COMPANY L..L.C.,ZAVESKY PA,-77.1945247,41.2033216,9/21/1964,8/31/2014
2464,WEED DAM,Active,620,GRESHAM VILLAGE OF (WI),RED RIVER WI,-88.70444,44.825,7/13/1965,6/30/2015
2203,HOLT LOCK AND DAM,Active,46944,ALABAMA POWER CO (AL),BLACK WARRIOR RIVER AL,-87.8312723,32.7737783,10/7/1965,8/31/2015
2280,KINZUA PUMPED STORAGE,Active,451800,"SENECA GENERATION, LLC",ALLEGHENY RIVER PA,-79.0134337,41.3033409,12/28/1965,11/30/2015
2524,SALINA PUMPED STORAGE,Active,260000,GRAND RIVER DAM AUTHORITY (OK),NEOSHO RIVER OK,-95.2586497,35.8229165,1/3/1966,11/30/2015
2492,VANCEBORO (STORAGE),Active,0,"WOODLAND PULP, LLC",EAST BRANCH ST. CROIX RIVER ME,NA,NA,4/4/1966,3/1/2016
2503,KEOWEE -TOXAWAY (PS&CON),Active,867600,"DUKE ENERGY CAROLINAS, LLC.",LITTLE RIVER SC,-78.6141798,33.8732279,9/1/1966,8/31/2016
2485,NORTHFIELD MOUNTAIN PUMPED STORAGE,Active,1080000,FIRSTLIGHT HYDRO GENERATING CO.,CONNECTICUT RIVER MA,-71.9223504,43.2416098,5/14/1968,4/30/2018
2684,ARPIN,Active,1450,FLAMBEAU HYDRO LLC.,CHIPPEWA EAST FORK WI,-90.7065529,46.0479102,6/3/1969,4/30/2019
2685,BLENHEIM GILBOA PUMPED STORAGE,Active,1160000,NEW YORK POWER AUTHORITY,SCH0HARIE CREEK NY,-74.2926329,42.9411851,6/6/1969,4/30/2019
2678,NARROWS NO. 2-SMARTVILLE T. L.,Active,0,PACIFIC GAS AND ELECTRIC CO, CA,-119.4179324,36.778261,7/1/1969,4/30/2016
2467,MERCED FALLS,Expired,3440,PACIFIC GAS AND ELECTRIC CO (C,MERCED RIVER CA,-120.4403501,37.3246538,7/28/1969,2/28/2014
2680,LUDINGTON PUMPED STORAGE,Active,1657500,CONSUMERS ENERGY CO (MI),LAKE MICHIGAN MI,-85.005307,43.8519677,7/30/1969,6/30/2019
2413,WALLACE (PS&CON),Active,324000,GEORGIA POWER CO (GA),OCONEE GA,-82.949866,32.8554338,8/6/1969,5/31/2020
