Company,Revenue,Bill,Year
"Algonquin Gas Transmission, LLC ",330163360,634619,2007
"Algonquin Gas Transmission, LLC ",365912564,628831,2008
"Algonquin Gas Transmission, LLC ",351104043,649819,2009
"Algonquin Gas Transmission, LLC ",388366492,727797,2010
"Algonquin Gas Transmission, LLC ",531006093,959956,2011
"Algonquin Gas Transmission, LLC ",615899704,1135062,2012
"Algonquin Gas Transmission, LLC ",665611038,796720,2013
"Algonquin Gas Transmission, LLC ",604036582,844516,2014
"Alliance Pipeline, LP ",677855934,947941,2014
"Alliance Pipeline, LP ",634451167,1218969,2007
"Alliance Pipeline, LP ",632196644,1083545,2008
"Alliance Pipeline, LP ",640863359,1187233,2009
"Alliance Pipeline, LP ",630665430,1185977,2010
"Alliance Pipeline, LP ",645072055,1166701,2011
"Alliance Pipeline, LP ",640833554,1181901,2012
"Alliance Pipeline, LP ",653476488,773174,2013
American Midstream ,13990859,26400,2010
American Midstream ,17822229,32222,2011
American Midstream ,16903762,31184,2012
American Midstream ,16875224,19877,2013
American Midstream ,18291164,25588,2014
American Midstream ,26993439,51274,2010
American Midstream ,30904927,55885,2011
American Midstream ,32827721,60524,2012
American Midstream ,44515010,55369,2013
American Midstream ,53265698,74570,2014
ANR Pipeline Company ,1318516486,2532532,2007
ANR Pipeline Company ,1308504850,2242454,2008
ANR Pipeline Company ,1452692614,2695156,2009
ANR Pipeline Company ,1439884310,2707118,2010
ANR Pipeline Company ,1450914758,2624251,2011
ANR Pipeline Company ,1587643827,2926709,2012
ANR Pipeline Company ,1522401449,1777639,2013
ANR Pipeline Company ,1415820336,1978063,2014
ANR Storage Company ,23955220,46304,2007
ANR Storage Company ,26669727,45838,2008
ANR Storage Company ,42810008,79801,2009
ANR Storage Company ,34882141,66025,2010
ANR Storage Company ,25670638,46462,2011
ANR Storage Company ,25575338,47168,2012
ANR Storage Company ,14861983,14840,2013
ANR Storage Company ,30396543,42680,2014
Arlington Storage Company LLC ,10468193,19206,2012
Arlington Storage Company LLC ,28843723,36225,2013
Arlington Storage Company LLC ,42338384,59350,2014
Bear Creek Storage Company ,22357750,43430,2007
Bear Creek Storage Company ,31694612,54751,2008
Bear Creek Storage Company ,39767496,73910,2009
Bear Creek Storage Company ,35496515,66967,2010
Bear Creek Storage Company ,36562611,66128,2011
Bear Creek Storage Company ,31834397,58756,2012
Bear Creek Storage Company ,28358133,32548,2013
Bear Creek Storage Company ,41379795,58005,2014
"Big Sandy Pipeline, LLC ",34577588,49370,2013
"Big Sandy Pipeline, LLC ",35321584,49389,2014
Bison Pipeline LLC ,102280611,187650,2012
Bison Pipeline LLC ,12527770,-7627,2013
Bison Pipeline LLC ,12881040,18012,2014
Black Marlin Pipeline Company ,4163115,8031,2007
Black Marlin Pipeline Company ,1198215,1919,2008
Black Marlin Pipeline Company ,515728,934,2009
Black Marlin Pipeline Company ,378608,720,2010
Black Marlin Pipeline Company ,246286,446,2011
Black Marlin Pipeline Company ,721997,1327,2012
Black Marlin Pipeline Company ,7508118,10540,2013
Black Marlin Pipeline Company ,8892244,12448,2014
Blue Lake Gas Storage Company ,2532135,5355,2007
Blue Lake Gas Storage Company ,34269034,60179,2008
Blue Lake Gas Storage Company ,30701531,56750,2009
Blue Lake Gas Storage Company ,26811347,50620,2010
Blue Lake Gas Storage Company ,31073325,56189,2011
Blue Lake Gas Storage Company ,28752668,53049,2012
Blue Lake Gas Storage Company ,20868502,22624,2013
Blue Lake Gas Storage Company ,35788906,50211,2014
"Bluewater Gas Storage, LLC ",45867865,65490,2013
"Bluewater Gas Storage, LLC ",48182237,67386,2014
Boardwalk Storage Company LLC ,9048660,11107,2013
Boardwalk Storage Company LLC ,10433076,14602,2014
Bobcat Gas Storage ,37108701,48957,2013
Bobcat Gas Storage ,43230913,60511,2014
"Caledonia Energy Partners, LLC ",11613012,16307,2014
"Caledonia Energy Partners, LLC ",4373353,8159,2012
"Caledonia Energy Partners, LLC ",5501232,6764,2013
"Cameron Interstate Pipeline, LLC ",4251865,7744,2010
"Cameron Interstate Pipeline, LLC ",11360974,20525,2011
"Cameron Interstate Pipeline, LLC ",5895358,10925,2012
"Cameron Interstate Pipeline, LLC ",4357002,4750,2013
"Cameron Interstate Pipeline, LLC ",1064108,1448,2014
Canyon Creek Compression Co. ,15226169,29360,2007
Canyon Creek Compression Co. ,9017234,15175,2008
Canyon Creek Compression Co. ,9017234,16701,2009
Canyon Creek Compression Co. ,0,-3072,2010
Carolina Gas Transmission Corp. ,108665854,190523,2008
Carolina Gas Transmission Corp. ,107965853,199944,2009
Carolina Gas Transmission Corp. ,111287462,208975,2010
Carolina Gas Transmission Corp. ,125283166,226554,2011
Carolina Gas Transmission Corp. ,128744637,237404,2012
Carolina Gas Transmission Corp. ,121925357,141969,2013
Carolina Gas Transmission Corp. ,135519468,189620,2014
"Celondia Energy Partners, LLC ",22979458,43290,2009
"Celondia Energy Partners, LLC ",16309660,31043,2010
"Celondia Energy Partners, LLC ",14030360,25384,2011
CenterPoint Energy Gas Transmission Comp ,921285245,1761926,2007
CenterPoint Energy Gas Transmission Comp ,959905488,1659081,2008
CenterPoint Energy Gas Transmission Comp ,1252756795,2329550,2009
CenterPoint Energy Gas Transmission Comp ,1292931339,2427827,2010
CenterPoint Energy Gas Transmission Comp ,1433188748,2591753,2011
CenterPoint Energy Gas Transmission Comp ,1321288817,2437869,2012
CenterPoint Energy Gas Transmission Comp ,1143552033,1303162,2013
CenterPoint Energy Miss. River Trans. Co ,369857428,710105,2007
CenterPoint Energy Miss. River Trans. Co ,357798039,614313,2008
CenterPoint Energy Miss. River Trans. Co ,387066568,717824,2009
CenterPoint Energy Miss. River Trans. Co ,365040444,687402,2010
CenterPoint Energy Miss. River Trans. Co ,355522632,643070,2011
CenterPoint Energy Miss. River Trans. Co ,302360940,558142,2012
CenterPoint Energy Miss. River Trans. Co ,275575002,318041,2013
Centra Pipelines Minnesota Inc. ,12503440,23719,2007
Centra Pipelines Minnesota Inc. ,12865190,22068,2008
Centra Pipelines Minnesota Inc. ,12420754,22991,2009
Centra Pipelines Minnesota Inc. ,7750957,14840,2010
Centra Pipelines Minnesota Inc. ,7750957,14019,2011
Centra Pipelines Minnesota Inc. ,7092753,13087,2012
Centra Pipelines Minnesota Inc. ,7642628,9143,2013
Centra Pipelines Minnesota Inc. ,7810800,10922,2014
Central Kentucky Transmission ,2566311,4851,2007
Central Kentucky Transmission ,5297291,9204,2008
Central Kentucky Transmission ,5083943,9409,2009
Central Kentucky Transmission ,3422263,6529,2010
Central Kentucky Transmission ,7748024,14000,2011
Central Kentucky Transmission ,7955486,14670,2012
Central Kentucky Transmission ,6602637,7442,2013
Central Kentucky Transmission ,5707102,7969,2014
"Central New York Oil and Gas Company, LL ",43409753,78369,2011
"Central New York Oil and Gas Company, LL ",106763225,196291,2012
"Central New York Oil and Gas Company, LL ",248500690,323498,2013
"Central New York Oil and Gas Company, LL ",433943936,608867,2014
Chandeleur Pipeline Company ,26727731,37332,2014
Chandeleur Pipeline Company ,40761490,76729,2007
Chandeleur Pipeline Company ,34903080,59562,2008
Chandeleur Pipeline Company ,29553813,54568,2009
Chandeleur Pipeline Company ,22297883,42333,2010
Chandeleur Pipeline Company ,19288360,34897,2011
Chandeleur Pipeline Company ,18140718,33467,2012
Chandeleur Pipeline Company ,29547116,37662,2013
"Cheniere Creole Trail Pipeline, L.P. ",4773142,8694,2010
"Cheniere Creole Trail Pipeline, L.P. ",2780563,5036,2011
"Cheniere Creole Trail Pipeline, L.P. ",1508665,2795,2012
"Cheniere Creole Trail Pipeline, L.P. ",2995217,3901,2013
"Cheniere Creole Trail Pipeline, L.P. ",5939866,8339,2014
Cheyenne Plains Gas Pipeline Company LLC ,272660679,516395,2007
Cheyenne Plains Gas Pipeline Company LLC ,321235141,552831,2008
Cheyenne Plains Gas Pipeline Company LLC ,454752925,846494,2009
Cheyenne Plains Gas Pipeline Company LLC ,446028924,838853,2010
Cheyenne Plains Gas Pipeline Company LLC ,274046478,496253,2011
Cheyenne Plains Gas Pipeline Company LLC ,180507367,333799,2012
Cheyenne Plains Gas Pipeline Company LLC ,138908748,153306,2013
Cheyenne Plains Gas Pipeline Company LLC ,101552390,141526,2014
"Cimarron Pipeline, LLC ",95142205,173293,2010
"Cimarron Pipeline, LLC ",80897757,146369,2011
"Cimarron Pipeline, LLC ",86213482,158949,2012
"Cimarron Pipeline, LLC ",90394297,107559,2013
"Cimarron Pipeline, LLC ",102282855,143135,2014
Colorado Interstate Gas Co. ,678352474,1302257,2007
Colorado Interstate Gas Co. ,853826423,1471498,2008
Colorado Interstate Gas Co. ,814299679,1506931,2009
Colorado Interstate Gas Co. ,769539208,1449012,2010
Colorado Interstate Gas Co. ,698734602,1264049,2011
Colorado Interstate Gas Co. ,701891443,1294438,2012
Colorado Interstate Gas Co. ,729516721,866513,2013
Colorado Interstate Gas Co. ,737709717,1031424,2014
Columbia Gas Transmission ,932137642,1792266,2007
Columbia Gas Transmission ,1022339861,1756481,2008
Columbia Gas Transmission ,1032144452,1911972,2009
Columbia Gas Transmission ,1029843542,1935804,2010
Columbia Gas Transmission ,1092428258,1975677,2011
Columbia Gas Transmission ,1117490189,2060697,2012
Columbia Gas Transmission ,1107666495,1302762,2013
Columbia Gas Transmission ,1124598684,1572402,2014
Columbia Gulf Transmission Co. ,663432003,1272786,2007
Columbia Gulf Transmission Co. ,1028976725,1768897,2008
Columbia Gulf Transmission Co. ,956776780,1769780,2009
Columbia Gulf Transmission Co. ,841822909,1588958,2010
Columbia Gulf Transmission Co. ,839214702,1517908,2011
Columbia Gulf Transmission Co. ,1040326557,1916698,2012
Columbia Gulf Transmission Co. ,879273770,995913,2013
Columbia Gulf Transmission Co. ,643039507,896163,2014
Crossroads Pipeline Company ,15729152,17809,2013
Crossroads Pipeline Company ,38897371,74836,2007
Crossroads Pipeline Company ,37463870,64151,2008
Crossroads Pipeline Company ,36493751,67560,2009
Crossroads Pipeline Company ,67889131,125767,2010
Crossroads Pipeline Company ,25363023,45903,2011
Crossroads Pipeline Company ,18639061,34439,2012
Crossroads Pipeline Company ,16894283,23633,2014
Dauphin Island Gathering Partners ,0,1956,2007
Dauphin Island Gathering Partners ,112944374,194775,2008
Dauphin Island Gathering Partners ,97648990,180373,2009
Dauphin Island Gathering Partners ,59351570,113784,2010
Dauphin Island Gathering Partners ,60010568,108539,2011
Dauphin Island Gathering Partners ,52234623,96409,2012
Dauphin Island Gathering Partners ,51102935,57725,2013
Dauphin Island Gathering Partners ,34781561,48431,2014
"Destin Pipeline Company, L.L.C. ",338971996,651431,2007
"Destin Pipeline Company, L.L.C. ",313197163,535682,2008
"Destin Pipeline Company, L.L.C. ",284716712,526428,2009
"Destin Pipeline Company, L.L.C. ",298752038,560711,2010
"Destin Pipeline Company, L.L.C. ",370150392,669254,2011
"Destin Pipeline Company, L.L.C. ",243872917,450101,2012
"Destin Pipeline Company, L.L.C. ",226116813,262015,2013
"Destin Pipeline Company, L.L.C. ",205645581,287251,2014
"Discovery Gas Transmission, LLC ",133143589,185783,2014
"Discovery Gas Transmission, LLC ",162874900,186032,2013
"Discovery Gas Transmission, LLC ",248175071,474327,2007
"Discovery Gas Transmission, LLC ",210397443,210532,2008
"Discovery Gas Transmission, LLC ",167310509,308513,2009
"Discovery Gas Transmission, LLC ",177930607,333816,2010
