"","lon","lat","Company","Field","Location","Type","Total","Working"
"1",-85.2264232,43.6203054,"ANR Pipeline Company","Austin","Mecosta, MI","DGF",23.08,7
"2",-85.696406,42.4605904,"ANR Pipeline Company","Central Charlton","Otsego, MI","DGF",19,12.9
"3",-85.1842227,44.7352042,"ANR Pipeline Company","Cold Springs 1","Kalkaska, MI","DGF",19.2,14.7
"4",-85.8000506,43.4197429,"ANR Pipeline Company","Goodwell","Newaygo, MI","DGF",31.7,19.3
"5",-84.7686281,43.8194703,"ANR Pipeline Company","Lincoln-Freeman","Clare, MI","DGF",35.72,17
"6",-84.7686281,43.8194703,"ANR Pipeline Company","Loreed","Clare, MI","DGF",45.71,22
"7",-85.354965,43.9257279,"ANR Pipeline Company","Muttonville","Osceola, MI","DGF",13.41,8.2
"8",-85.354965,43.9257279,"ANR Pipeline Company","Reed City","Osceola, MI","DGF",28.91,13.2
"9",-85.696406,42.4605904,"ANR Pipeline Company","South Chester 15","Otsego, MI","DGF",19.46,13.4
"10",-85.354965,43.9257279,"ANR Pipeline Company","Winfield","Osceola, MI","DGF",15.93,6.8
"11",-85.1842227,44.7352042,"ANR Storage Company","Cold Springs 12","Kalkaska, MI","DGF",28.88,25.26
"12",-85.1842227,44.7352042,"ANR Storage Company","Cold Springs 31","Kalkaska, MI","DGF",5.3,4.55
"13",-85.1842227,44.7352042,"ANR Storage Company","Excelsior 6","Kalkaska, MI","DGF",12.31,10.81
"14",-85.1842227,44.7352042,"ANR Storage Company","Rapid River 35","Kalkaska, MI","DGF",17.33,15.05
"15",-75.2829465,43.3200694,"Arlington Storage Company, LLC","Thomas Corners","Steuben, NY","DGF",10,7
"18",-92.9804374,32.3568222,"Bear Creek Storage Company","Bear Creek","Bienville, LA","DGF",114.9,58
"20",-85.1842227,44.7352042,"Blue Lake Gas Storage Co.","Blue Lake 18A","Kalkaska, MI","DGF",54.12,47.09
"21",-82.8963604,42.4974085,"Blue Water Gas Storage, LLC","Kimball/Columbus III","St. Clair, Macomb, MI","DGF",31.32,25.7
"22",-92.0665197,30.6036535,"Bobcat Gas Storage","Bobcat","St. Landry, LA","SC",21.22,16.63
"24",-88.4403883,33.473423,"Caledonia Energy Partners, LLC","Caledonia","Lowndes, MS","DGF",24.8,19.9
"25",-90.1570536,38.6825502,"CenterPoint Energy - Mississippi River Transmission Corporation","St. Jacob","Madison, IL","Aquifer",4.36,1.6
"26",-118.1751669,33.7809383,"CenterPoint Energy - Mississippi River Transmission Corporation","East Unionville","Lincoln, LA","DGF",55.2,26.52
"27",-118.1751669,33.7809383,"CenterPoint Energy - Mississippi River Transmission Corporation","West Unionville","Lincoln, LA","DGF",25,11.28
"28",-118.1751669,33.7809383,"CenterPoint Energy Gas Transmission Company","Ruston","Lincoln, LA","DGF",6,3
"29",-96.625838,34.4887028,"CenterPoint Energy Gas Transmission Company","Ada ","Pontotoc, OK","DGF",22.41,14
"30",-96.2800864,34.568577,"CenterPoint Energy Gas Transmission Company","Chiles Dome","Coal, OK","DGF",26,15
"31",-76.34791,42.056903,"Central New York Oil and Gas Company","Stagecoach","Tioga, NY","DGF",30.54,24.74
"33",-110.6168921,41.2107397,"Clear Creek Storage Company","Clear Creek","Unita, WY","DGF",8,4
"34",-102.5298028,37.394731,"Colorado Interstate Gas Company","Flank","Baca, CO","DGF",19.89,7.18
"35",-103.7289167,40.2989226,"Colorado Interstate Gas Company","Fort Morgan","Morgan, CO","DGF",14.85,8.5
"36",-104.332644,39.62031,"Colorado Interstate Gas Company","Latigo","Arapahoe, CO","DGF",22.28,9.1
"37",-104.1930918,39.8398269,"Colorado Interstate Gas Company","Totem","Adams, CO","DGF",10.7,7
"38",-101.7979613,37.1333387,"Colorado Interstate Gas Company","Boehm","Morton, KS","DGF",12.73,5.23
"39",-75.0912706,43.0986809,"Columbia Gas Tranmission Corporation","Dundee ","Schuyler, NY","DGF",11.36,3.87
"40",-75.2829465,43.3200694,"Columbia Gas Tranmission Corporation","Greenwood ","Steuben, NY","DGF",3.32,0.13
"41",-75.2829465,43.3200694,"Columbia Gas Tranmission Corporation","North Greenwood ","Steuben, NY","DGF",3.2,1.1
"42",-82.4752757,39.4909358,"Columbia Gas Tranmission Corporation","Benton ","Hocking, OH","DGF",25.1,7.68
"43",-80.6939643,40.8883931,"Columbia Gas Tranmission Corporation","Brinker ","Columbiana, OH","DGF",7.65,3.07
"44",-84.5603187,39.3454673,"Columbia Gas Tranmission Corporation","Crawford ","Fairfield, OH","DGF",79.1,31.1
"45",-81.592343,40.1817377,"Columbia Gas Tranmission Corporation","Guernsey ","Guernsey, , OH","DGF",7.3,2.65
"46",-81.909826,40.5540928,"Columbia Gas Tranmission Corporation","Holmes ","Holms, OH","DGF",21.7,10.8
"47",-82.4752757,39.4909358,"Columbia Gas Tranmission Corporation","Laurel ","Hocking, OH","DGF",23.3,8.3
"48",-82.1823746,41.452819,"Columbia Gas Tranmission Corporation","Lorain ","Lorain, OH","DGF",10.7,3.3
"49",-82.3182178,40.8686675,"Columbia Gas Tranmission Corporation","Lucas","Ashland, OH","DGF",60.4,25.11
"50",-82.3415421,38.9764655,"Columbia Gas Tranmission Corporation","McArthur","Vinton, OH","DGF",10.9,5.32
"51",-81.8552196,41.143245,"Columbia Gas Tranmission Corporation","Medina","Medina, OH","DGF",10.4,4.37
"52",-82.3182178,40.8686675,"Columbia Gas Tranmission Corporation","Pavonia","Ashland, OH","DGF",49.5,24.3
"53",-83.4735393,41.3014415,"Columbia Gas Tranmission Corporation","Wayne","Wayne, OH","DGF",17.4,8.2
"54",-82.3182178,40.8686675,"Columbia Gas Tranmission Corporation","Weaver","Ashland, OH","DGF",50.5,19.02
"55",-82.1823746,41.452819,"Columbia Gas Tranmission Corporation","Wellington","Lorain, OH","DGF",23.1,8.84
"56",-78.5039069,40.0186921,"Columbia Gas Tranmission Corporation","Artemas A ","Bedford, PA","DGF",14.46,8.79
"57",-78.5039069,40.0186921,"Columbia Gas Tranmission Corporation","Artemas B ","Bedford, PA","DGF",2.15,1.23
"58",-80.2461714,40.17396,"Columbia Gas Tranmission Corporation","Donegal ","Washington, PA","DGF",9.9,4.93
"59",-80.1875065,39.8113005,"Columbia Gas Tranmission Corporation","Heard ","Greene, PA","DGF",8.9,8.5
"60",-80.1875065,39.8113005,"Columbia Gas Tranmission Corporation","Holbrook ","Greene, PA","DGF",1.54,0.41
"61",-78.9061921,40.6855874,"Columbia Gas Tranmission Corporation","Majorsville ","Green, PA","DGF",28.01,26.3
"62",-81.4278984,38.2556905,"Columbia Gas Tranmission Corporation","Coco A ","Kanawha, WV","DGF",39.14,22.41
"63",-81.4278984,38.2556905,"Columbia Gas Tranmission Corporation","Coco B ","Kanawha, WV","DGF",9.7,3.2
"64",-81.4278984,38.2556905,"Columbia Gas Tranmission Corporation","Coco C ","Kanawha, WV","DGF",17.27,8.51
"65",-80.0087746,38.8092552,"Columbia Gas Tranmission Corporation","Glady ","Randolph, WV","DGF",31.2,12.7
"66",-81.4278984,38.2556905,"Columbia Gas Tranmission Corporation","Hunt ","Kanawha, WV","DGF",6.14,1.1
