Type,Year,Cost,Miles,Capacity
Conversion,1997,159,850,255
Conversion,1998,21,200,28
Conversion,2002,317,1499,337
Conversion,2003,0,34,14
Conversion,2004,30,177,170
Conversion,2005,118,348,652
Conversion,2014,,-500,-255
Expansion,1996,204,758,826
Expansion,1997,517,881,2161
Expansion,1998,1627,1111,4789
Expansion,1999,443,706,1965
Expansion,2000,327,304,5611
Expansion,2001,1161,1654,3453
Expansion,2002,1365,551,3872
Expansion,2003,2885,1392,5154
Expansion,2004,1068,560,2822
Expansion,2005,662,428,4404
Expansion,2006,1223,599,4208
Expansion,2007,2416,792,8536
Expansion,2008,5544,1199,24695
Expansion,2009,2596,635,4327
Expansion,2010,3877,423,6855
Expansion,2011,4383,998,6139
Expansion,2012,852,211,3199
Expansion,2013,2554,259,3108
Expansion,2014,1472,245,2118
Expansion,2015,2105,182,4978
Expansion,2016,887,318,5086
Expansion,2017,730,142,5766
Expansion,2018,800,50,1000
Expansion,2020,3000,147,4956
Expansion,2021,,13,106
Lateral,1996,21,26,232
Lateral,1997,75,503,581
Lateral,1998,73,565,842
Lateral,1999,67,415,1051
Lateral,2000,58,77,973
Lateral,2001,235,323,3706
Lateral,2002,700,421,4198
Lateral,2003,233,126,3045
Lateral,2004,564,248,2219
Lateral,2005,289,154,1499
Lateral,2006,215,162,2983
Lateral,2007,520,300,2368
Lateral,2008,853,364,8645
Lateral,2009,256,152,2587
Lateral,2010,178,91,4039
Lateral,2011,273,119,4040
Lateral,2012,129,82,1240
Lateral,2013,190,124,1206
Lateral,2014,561,150,1106
Lateral,2015,682,190,3482
Lateral,2016,346,217,1442
Lateral,2017,1730,337,4095
Lateral,2020,720,65,1400
New Pipeline,1996,167,208,1524
New Pipeline,1997,439,571,2543
New Pipeline,1998,419,331,1045
New Pipeline,1999,1188,789,1483
New Pipeline,2000,1797,1319,2345
New Pipeline,2001,256,256,1502
New Pipeline,2002,1738,883,2832
New Pipeline,2003,199,402,820
New Pipeline,2004,68,150,570
New Pipeline,2005,235,194,1510
New Pipeline,2006,610,569,2555
New Pipeline,2007,1183,603,4232
New Pipeline,2008,5350,2095,11233
New Pipeline,2009,10528,2702,15432
New Pipeline,2010,2756,788,6099
New Pipeline,2011,5127,1405,6376
New Pipeline,2012,1004,253,1498
New Pipeline,2013,,0,366
New Pipeline,2014,12,132,2330
New Pipeline,2015,1450,234,1702
New Pipeline,2016,1056,1035,3762
New Pipeline,2017,10900,2625,12750
New Pipeline,2020,6040,1414,11050
Reveral,2013,,,540
Reveral,2014,81,,794
Reveral,2015,745,76,2617
Reveral,2016,52,0,3550
Reveral,2017,,180,4170
