Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter
Supply Header Project,Dominion Transmission,Expansion,,Pre-filed,WV,Northeast,FERC,PF15-5,12/4/14,,na,500,34,1500,"30,36"
Windsor Project,Self-Gen,Expansion,Intrastate,Announced,ME,Northeast,State,na,2/17/11,,na,,,,
Cameron Access Project,Columbia Gulf Transmission,Expansion,,Announced,LA,Central,FERC,na,8/4/14,,na,300,26,,
Virginia Power Power Link,Columbia Gas Transmission,Lateral,Interstate,Applied,VA,Northeast,FERC,CP11-490,4/2/12,,na,34,2,224,24
Sawgrass Storage Mainline,Sawgrass Storage LLC,Lateral,Interstate,Approved,LA,Southwest,FERC,CP11-523,6/2/13,,na,,14,300,"30,24"
Canadian Blackwell Expansion Project,Southern Star Central Gas Pipeline,Expansion,Interstate,Announced,TX,Southwest,FERC,na,4/6/12,,na,,,,
ANR East Pipeline Project,ANR Pipeline,New Pipeline,,Announced,OH,"Northeast,Midwest",FERC,na,9/8/14,,na,,160,1000,
ANR East Pipeline Project,ANR Pipeline,New Pipeline,,Announced,IN,"Northeast,Midwest",FERC,na,9/8/14,,na,,160,1000,
The Alaska Pipeline,TransCanada Pipeline LTD and ExxonMobil,New Pipeline,Interstate,Announced,AK,"Alaska,British Columbia",FERC,PF09-11,2/11/11,,na,20500,375,2250,48
The Alaska Pipeline,TransCanada Pipeline LTD and ExxonMobil,New Pipeline,Interstate,Announced,YK,"Alaska,British Columbia",FERC,PF09-11,2/11/11,,na,20500,375,2250,48
North Slope to Central Alaska,Enstar/ANGDA,New Pipeline,Intrastate,Announced,AK,Alaska,State,na,6/26/09,,na,3800,700,460,"24,20"
LaSalle Residue Line,DCP Midstream,Lateral,Interstate,Approved,CO,Central,FERC,CP11-549,6/29/11,,na,12,11,230,
North Elko Pipeline Project,Prospector Pipeline,Lateral,Intrastate,Announced,NV,Western,State,na,6/14/12,,na,,24,,10
UGI Lycoming to Snyder,UGI Energy Services,Expansion,,Announced,PA,Northeast,FERC,na,12/20/14,,na,150,35,200,
Ryckman Storage Lateral,,Lateral,Interstate,Applied,WY,Central,FERC,PF10-18,7/30/10,,na,,4,,"16,20"
Hillabee Expansion phase 3,Transcontinental Gas Pipeline,Expansion,,Filed,AL,Southeast,FERC,CP15-16,12/4/14,,2021,,13,106,42
MPEH Pipeline Project,McMoran Exploration Inc,New Pipeline,Interstate,Approved,GM,"Gulf of Mexico,Southeast",Coast Guard,USCG-2004-17696,1/25/11,,2020,60,48.5,800,36
MPEH Pipeline Project,McMoran Exploration Inc,New Pipeline,Interstate,Approved,AL,"Gulf of Mexico,Southeast",Coast Guard,USCG-2004-17696,1/25/11,,2020,60,48.5,800,36
Hillabee Expansion phase 2,Transcontinental Gas Pipeline,Expansion,,Filed,AL,Southeast,FERC,CP15-16,12/4/14,,2020,,11,206,42
Diamond East Project,Transcontinental Interstate Pipeline,Expansion,,Announced,PA,Northeast,FERC,na,9/14/14,,2018,400,25,500,
Diamond East Project,Transcontinental Interstate Pipeline,Expansion,,Announced,NY,Northeast,FERC,na,9/14/14,,2018,400,25,500,
Atlantic Coast Pipeline,Atlantic Coast Pipeline,New Pipeline,,Pre-filed,WV,"Northeast,Southeast",FERC,PF15-6,9/2/14,,2020,"1,666.666667",183.3333333,500,"42,36,20"
Atlantic Coast Pipeline,Atlantic Coast Pipeline,New Pipeline,,Pre-filed,VA,"Northeast,Southeast",FERC,PF15-6,9/2/14,,2020,"1,666.666667",183.3333333,500,"42,36,20"
Atlantic Coast Pipeline,Atlantic Coast Pipeline,New Pipeline,,Pre-filed,NC,"Northeast,Southeast",FERC,PF15-6,9/2/14,,2020,"1,666.666667",183.3333333,500,"42,36,20"
Northeast Energy Direct,Tennessee Gas Pipeline,New Pipeline,,Pre-file,PA,Northeast,FERC,PF14-22,6/21/14,,2020,,115.3333333,733.3333333,
Northeast Energy Direct,Tennessee Gas Pipeline,New Pipeline,,Pre-file,NY,Northeast,FERC,PF14-22,6/21/14,,2020,,115.3333333,733.3333333,
Northeast Energy Direct,Tennessee Gas Pipeline,New Pipeline,,Pre-file,MA,Northeast,FERC,PF14-22,6/21/14,,2020,,115.3333333,733.3333333,
Access Northeast,Algonquin Gas Transmission,Expansion,,Announced,NY,Northeast,FERC,na,9/16/14,,2020,1000,,333.3333333,
Access Northeast,Algonquin Gas Transmission,Expansion,,Announced,CT,Northeast,FERC,na,9/16/14,,2020,1000,,333.3333333,
Access Northeast,Algonquin Gas Transmission,Expansion,,Announced,MA,Northeast,FERC,na,9/16/14,,2020,1000,,333.3333333,
Washington Expansion Project,Northwest Pipeline,Expansion,Interstate,Pre-filed,WA,Northwest,FERC,PF12-20,7/11/12,,2020,,68,375,36
Washington Expansion Project,Northwest Pipeline,Expansion,Interstate,Pre-filed,OR,Northwest,FERC,PF12-20,7/11/12,,2020,,68,375,36
Mountain Valley Pipeline,Mountain Valley Pipeline,New Pipeline,,Announced,WV,"Northeast,Southeast",FERC,na,6/20/14,,2020,,110,666.6666667,
Mountain Valley Pipeline,Mountain Valley Pipeline,New Pipeline,,Announced,VA,"Northeast,Southeast",FERC,na,6/20/14,,2020,,110,666.6666667,
Mountain Valley Pipeline,Mountain Valley Pipeline,New Pipeline,,Announced,NC,"Northeast,Southeast",FERC,na,6/20/14,,2020,,110,666.6666667,
Oregon Pipeline,"Oregon Pipeline Company, LLC",New Pipeline,Interstate,Announced,OR,Western,FERC,CP09-7/CP09-6,9/6/13,,2020,0,87,1250,36
Port Dolphin LNG Pipeline,Port Dolphin Pipeline LP,New Pipeline,Interstate,Approved,FL,Southeast,FERC/Coast Guard,CP07-191,12/19/14,,2020,50,4,1200,36
Coastal Bend Header,Gulf South Pipeline Co,Lateral,,Announced,TX,Southwest,FERC,na,9/10/14,,2020,720,65,1400,"36,42"
WB Xpress,Columbia Pipeline,New Pipeline,,Announced,OH,Northeast,FERC,na,9/3/14,,2020,435,,650,
WB Xpress,Columbia Pipeline,New Pipeline,,Announced,MD,Northeast,FERC,na,9/3/14,,2020,435,,650,
Appalachia to Market Project,Texas Eastern Transmission co,Expansion,,Announced,OH,Northeast,FERC,na,8/4/14,,2020,,,250,
Appalachia to Market Project,Texas Eastern Transmission co,Expansion,,Announced,WV,Northeast,FERC,na,8/4/14,,2020,,,250,
Appalachia to Market Project,Texas Eastern Transmission co,Expansion,,Announced,PA,Northeast,FERC,na,8/4/14,,2020,,,250,
Appalachia to Market Project,Texas Eastern Transmission co,Expansion,,Announced,NJ,Northeast,FERC,na,8/4/14,,2020,,,250,
Western Marcellus Pipeline Project/Appalachian Connector,Transcontinental Interstate Pipeline,Expansion,,Announced,OH,"Northeast,Norhteast",FERC,na,9/14/14,,2020,,,666.6666667,
Western Marcellus Pipeline Project/Appalachian Connector,Transcontinental Interstate Pipeline,Expansion,,Announced,WV,"Northeast,Norhteast",FERC,na,9/14/14,,2020,,,666.6666667,
Western Marcellus Pipeline Project/Appalachian Connector,Transcontinental Interstate Pipeline,Expansion,,Announced,VA,"Northeast,Norhteast",FERC,na,9/14/14,,2020,,,666.6666667,
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,,Pre-filed,PA,"Northeast,Central",FERC,PF14-8,6/20/14,,2017,,30,283.3333333,
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,,Pre-filed,VA,"Northeast,Central",FERC,PF14-8,6/20/14,,2017,,30,283.3333333,
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,,Pre-filed,NC,"Northeast,Central",FERC,PF14-8,6/20/14,,2017,,30,283.3333333,
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,,Pre-filed,SC,"Northeast,Central",FERC,PF14-8,6/20/14,,2017,,30,283.3333333,
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,,Pre-filed,GA,"Northeast,Central",FERC,PF14-8,6/20/14,,2017,,30,283.3333333,
Atlantic Sunrise Project (bi- directional),Transcontinental Gas Pipeline,Reversal,,Pre-filed,AL,"Northeast,Central",FERC,PF14-8,6/20/14,,2017,,30,283.3333333,
Pacific Connector Gas Pipeline,Northwest/PG&E/Chicago Prtnrs,Lateral,Interstate,Filed,OR,Western,FERC,CP13-492,6/11/13,,2017,1700,230,1000,36
Dalton Expansion Project,Transcontinental Gas Pipeline,Expansion,Interstate,Announced,AL,Southeast,FERC,na,3/31/14,,2017,135,53,224,"16,30"
Dalton Expansion Project,Transcontinental Gas Pipeline,Expansion,Interstate,Announced,GA,Southeast,FERC,na,3/31/14,,2017,135,53,224,"16,30"
Lebanon lateral project phase 3,ANR Pipeline,reversal,,Announced,OH,Northeast,FERC,na,3/2/14,,2017,,,,
Dakota Pipeline,"WBI Energy, In",New Pipeline,,Announced,ND,Midwest,FERC,,2/20/14,,2017,325,12,200,
Dakota Pipeline,"WBI Energy, In",New Pipeline,,Announced,MN,Midwest,FERC,,2/20/14,,2017,325,12,200,
Alaska Pipeline Project Option 2,TransCanada and ExxonMobil Corp,New Pipeline,Intrastate,Announced,AK,Alaska,State,na,2/11/11,,2017,,805,3500,48
Florida Southeast Connection,NextEra Energy,New Pipeline,interstate,Announced,FL,southeast,FERC,,8/20/13,,2017,550,126,600,36
Rover Pipeline Project,ET Rover Pipeline,New Pipeline,,Pre-filed,PA,"Northeast,Canada",FERC,PF14-14,9/1/14,,2017,860,160,650,42
